date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
11-01-2021,California,State,Total,567,100,413.2857143,100
11-01-2021,California,State,Epsilon,273,48.15,221.7142857,53.64673349
12-01-2021,California,State,Epsilon,304,54.68,202.2857143,53.69738339
12-01-2021,California,State,Total,556,100,376.7142857,100
12-01-2021,California,State,Alpha,9,1.62,6.142857143,1.63064088
12-01-2021,California,State,Lambda,0,0,0,0
12-01-2021,California,State,Other,241,43.35,165.2857143,43.87561623
12-01-2021,California,State,Beta,0,0,0.142857143,0.037921881
12-01-2021,California,State,Gamma,1,0.18,0.142857143,0.037921881
12-01-2021,California,State,Mu,0,0,0.142857143,0.037921881
12-01-2021,California,State,Delta,1,0.18,1.285714286,0.341296928
12-01-2021,California,State,Omicron,0,0,1.285714286,0.341296928
13-01-2021,California,State,Other,228,39.38,175.7142857,43.21855235
13-01-2021,California,State,Delta,1,0.17,1,0.245959241
13-01-2021,California,State,Lambda,0,0,0,0
13-01-2021,California,State,Total,579,100,406.5714286,100
13-01-2021,California,State,Alpha,9,1.55,7,1.721714687
13-01-2021,California,State,Epsilon,339,58.55,221.1428571,54.3921293
13-01-2021,California,State,Mu,0,0,0.142857143,0.035137034
13-01-2021,California,State,Omicron,2,0.35,1.285714286,0.31623331
13-01-2021,California,State,Beta,0,0,0.142857143,0.035137034
13-01-2021,California,State,Gamma,0,0,0.142857143,0.035137034
14-01-2021,California,State,Mu,0,0,0.142857143,0.031036623
14-01-2021,California,State,Gamma,0,0,0.142857143,0.031036623
14-01-2021,California,State,Total,675,100,460.2857143,100
14-01-2021,California,State,Omicron,0,0,1,0.217256363
14-01-2021,California,State,Lambda,0,0,0,0
14-01-2021,California,State,Epsilon,425,62.96,259.7142857,56.42458101
14-01-2021,California,State,Other,236,34.96,191.2857143,41.55803849
14-01-2021,California,State,Beta,0,0,0.142857143,0.031036623
14-01-2021,California,State,Alpha,14,2.07,6.857142857,1.489757914
14-01-2021,California,State,Delta,0,0,1,0.217256363
15-01-2021,California,State,Total,570,100,520.4285714,100
15-01-2021,California,State,Delta,2,0.35,1,0.192149327
15-01-2021,California,State,Alpha,8,1.4,7.714285714,1.482294812
15-01-2021,California,State,Omicron,0,0,0.857142857,0.164699424
15-01-2021,California,State,Gamma,0,0,0.142857143,0.027449904
15-01-2021,California,State,Lambda,0,0,0,0
15-01-2021,California,State,Epsilon,320,56.14,294.1428571,56.51935218
15-01-2021,California,State,Other,240,42.11,216.2857143,41.55915454
15-01-2021,California,State,Mu,0,0,0.142857143,0.027449904
15-01-2021,California,State,Beta,0,0,0.142857143,0.027449904
16-01-2021,California,State,Gamma,0,0,0.142857143,0.02602811
16-01-2021,California,State,Other,329,44.76,231.8571429,42.24362311
16-01-2021,California,State,Delta,0,0,0.857142857,0.156168662
16-01-2021,California,State,Epsilon,389,52.93,305.7142857,55.70015617
16-01-2021,California,State,Alpha,17,2.31,9.285714286,1.691827173
16-01-2021,California,State,Beta,0,0,0.142857143,0.02602811
16-01-2021,California,State,Omicron,0,0,0.714285714,0.130140552
16-01-2021,California,State,Mu,0,0,0.142857143,0.02602811
16-01-2021,California,State,Total,735,100,548.8571429,100
16-01-2021,California,State,Lambda,0,0,0,0
17-01-2021,California,State,Mu,0,0,0.142857143,0.025025025
17-01-2021,California,State,Alpha,3,0.96,9.714285714,1.701701702
17-01-2021,California,State,Lambda,0,0,0,0
17-01-2021,California,State,Delta,0,0,0.857142857,0.15015015
17-01-2021,California,State,Other,129,41.08,240.4285714,42.11711712
17-01-2021,California,State,Beta,0,0,0.142857143,0.025025025
17-01-2021,California,State,Gamma,1,0.32,0.285714286,0.05005005
17-01-2021,California,State,Omicron,0,0,0.571428571,0.1001001
17-01-2021,California,State,Epsilon,181,57.64,318.7142857,55.83083083
17-01-2021,California,State,Total,314,100,570.8571429,100
18-01-2021,California,State,Alpha,13,1.74,10.42857143,1.747665789
18-01-2021,California,State,Mu,0,0,0,0
18-01-2021,California,State,Omicron,0,0,0.285714286,0.047881254
18-01-2021,California,State,Gamma,0,0,0.285714286,0.047881254
18-01-2021,California,State,Beta,0,0,0,0
18-01-2021,California,State,Epsilon,431,57.62,341.2857143,57.19415849
18-01-2021,California,State,Total,748,100,596.7142857,100
18-01-2021,California,State,Lambda,0,0,0,0
18-01-2021,California,State,Other,303,40.51,243.7142857,40.84271008
18-01-2021,California,State,Delta,1,0.13,0.714285714,0.119703136
19-01-2021,California,State,Total,1216,100,691,100
19-01-2021,California,State,Gamma,0,0,0.142857143,0.020673971
19-01-2021,California,State,Alpha,19,1.56,11.85714286,1.715939632
19-01-2021,California,State,Delta,1,0.08,0.714285714,0.103369857
19-01-2021,California,State,Omicron,2,0.16,0.571428571,0.082695886
19-01-2021,California,State,Beta,0,0,0,0
19-01-2021,California,State,Epsilon,676,55.59,394.4285714,57.08083523
19-01-2021,California,State,Lambda,0,0,0,0
19-01-2021,California,State,Mu,0,0,0,0
19-01-2021,California,State,Other,518,42.6,283.2857143,40.99648542
20-01-2021,California,State,Omicron,0,0,0.285714286,0.044355733
20-01-2021,California,State,Alpha,15,5.98,12.71428571,1.973830118
20-01-2021,California,State,Epsilon,157,62.55,368.4285714,57.19671768
20-01-2021,California,State,Beta,0,0,0,0
20-01-2021,California,State,Delta,0,0,0.571428571,0.088711466
20-01-2021,California,State,Mu,0,0,0,0
20-01-2021,California,State,Lambda,0,0,0,0
20-01-2021,California,State,Gamma,1,0.4,0.285714286,0.044355733
20-01-2021,California,State,Other,78,31.08,261.8571429,40.65202927
20-01-2021,California,State,Total,251,100,644.1428571,100
21-01-2021,California,State,Mu,0,0,0,0
21-01-2021,California,State,Beta,0,0,0,0
21-01-2021,California,State,Total,88,100,560.2857143,100
21-01-2021,California,State,Other,17,19.32,230.5714286,41.15247323
21-01-2021,California,State,Alpha,27,30.68,14.57142857,2.600713921
21-01-2021,California,State,Delta,1,1.14,0.714285714,0.127485977
21-01-2021,California,State,Lambda,0,0,0,0
21-01-2021,California,State,Epsilon,43,48.86,313.8571429,56.01733809
21-01-2021,California,State,Omicron,0,0,0.285714286,0.050994391
21-01-2021,California,State,Gamma,0,0,0.285714286,0.050994391
22-01-2021,California,State,Lambda,0,0,0,0
22-01-2021,California,State,Alpha,7,14.58,14.42857143,2.970588235
22-01-2021,California,State,Epsilon,28,58.33,272.1428571,56.02941176
22-01-2021,California,State,Delta,1,2.08,0.571428571,0.117647059
22-01-2021,California,State,Other,12,25,198,40.76470588
22-01-2021,California,State,Beta,0,0,0,0
22-01-2021,California,State,Mu,0,0,0,0
22-01-2021,California,State,Total,48,100,485.7142857,100
22-01-2021,California,State,Gamma,0,0,0.285714286,0.058823529
22-01-2021,California,State,Omicron,0,0,0.285714286,0.058823529
23-01-2021,California,State,Alpha,11,42.31,13.57142857,3.530286139
23-01-2021,California,State,Mu,0,0,0,0
23-01-2021,California,State,Gamma,0,0,0.285714286,0.074321813
23-01-2021,California,State,Omicron,0,0,0.285714286,0.074321813
23-01-2021,California,State,Other,4,15.38,151.5714286,39.42772204
23-01-2021,California,State,Delta,0,0,0.571428571,0.148643627
23-01-2021,California,State,Beta,0,0,0,0
23-01-2021,California,State,Epsilon,11,42.31,218.1428571,56.74470457
23-01-2021,California,State,Total,26,100,384.4285714,100
23-01-2021,California,State,Lambda,0,0,0,0
24-01-2021,California,State,Delta,0,0,0.571428571,0.165084606
24-01-2021,California,State,Alpha,7,15.22,14.14285714,4.085843995
24-01-2021,California,State,Omicron,0,0,0.285714286,0.082542303
24-01-2021,California,State,Epsilon,35,76.09,197.2857143,56.99546017
24-01-2021,California,State,Total,46,100,346.1428571,100
24-01-2021,California,State,Gamma,0,0,0.142857143,0.041271151
24-01-2021,California,State,Other,4,8.7,133.7142857,38.62979777
24-01-2021,California,State,Beta,0,0,0,0
24-01-2021,California,State,Mu,0,0,0,0
24-01-2021,California,State,Lambda,0,0,0,0
25-01-2021,California,State,Delta,0,0,0.428571429,0.17055145
25-01-2021,California,State,Alpha,4,4.76,12.85714286,5.116543491
25-01-2021,California,State,Lambda,0,0,0,0
25-01-2021,California,State,Omicron,0,0,0.285714286,0.113700966
25-01-2021,California,State,Beta,0,0,0,0
25-01-2021,California,State,Total,84,100,251.2857143,100
25-01-2021,California,State,Gamma,0,0,0.142857143,0.056850483
25-01-2021,California,State,Epsilon,48,57.14,142.5714286,56.73678226
25-01-2021,California,State,Mu,0,0,0,0
25-01-2021,California,State,Other,32,38.1,95,37.80557135
26-01-2021,California,State,Lambda,0,0,0,0
26-01-2021,California,State,Delta,1,0.17,0.428571429,0.268336315
26-01-2021,California,State,Mu,0,0,0,0
26-01-2021,California,State,Other,218,37.91,52.14285714,32.64758497
26-01-2021,California,State,Total,575,100,159.7142857,100
26-01-2021,California,State,Alpha,9,1.57,11.42857143,7.155635063
26-01-2021,California,State,Omicron,0,0,0,0
26-01-2021,California,State,Epsilon,347,60.35,95.57142857,59.83899821
26-01-2021,California,State,Beta,0,0,0,0
26-01-2021,California,State,Gamma,0,0,0.142857143,0.089445438
27-01-2021,California,State,Beta,0,0,0,0
27-01-2021,California,State,Delta,1,0.14,0.571428571,0.254939452
27-01-2021,California,State,Mu,0,0,0,0
27-01-2021,California,State,Gamma,0,0,0,0
27-01-2021,California,State,Other,230,32.76,73.85714286,32.95092416
27-01-2021,California,State,Alpha,12,1.71,11,4.907584449
27-01-2021,California,State,Epsilon,459,65.38,138.7142857,61.88655194
27-01-2021,California,State,Total,702,100,224.1428571,100
27-01-2021,California,State,Omicron,0,0,0,0
27-01-2021,California,State,Lambda,0,0,0,0
28-01-2021,California,State,Lambda,0,0,0,0
28-01-2021,California,State,Epsilon,531,61.18,208.4285714,62.11153682
28-01-2021,California,State,Other,305,35.14,115,34.26990209
28-01-2021,California,State,Omicron,0,0,0,0
28-01-2021,California,State,Delta,1,0.12,0.571428571,0.170285228
28-01-2021,California,State,Total,868,100,335.5714286,100
28-01-2021,California,State,Mu,0,0,0,0
28-01-2021,California,State,Gamma,3,0.35,0.428571429,0.127713921
28-01-2021,California,State,Alpha,26,3,10.85714286,3.235419327
28-01-2021,California,State,Beta,2,0.23,0.285714286,0.085142614
29-01-2021,California,State,Mu,0,0,0,0
29-01-2021,California,State,Omicron,0,0,0,0
29-01-2021,California,State,Delta,1,0.48,0.571428571,0.159299084
29-01-2021,California,State,Beta,0,0,0.285714286,0.079649542
29-01-2021,California,State,Epsilon,144,68.57,225,62.72401434
29-01-2021,California,State,Alpha,10,4.76,11.28571429,3.14615691
29-01-2021,California,State,Gamma,2,0.95,0.714285714,0.199123855
29-01-2021,California,State,Total,210,100,358.7142857,100
29-01-2021,California,State,Lambda,0,0,0,0
29-01-2021,California,State,Other,53,25.24,120.8571429,33.69175627
30-01-2021,California,State,Mu,0,0,0,0
30-01-2021,California,State,Other,27,25,124.1428571,33.51330505
30-01-2021,California,State,Delta,0,0,0.571428571,0.154261473
30-01-2021,California,State,Lambda,0,0,0,0
30-01-2021,California,State,Total,108,100,370.4285714,100
30-01-2021,California,State,Alpha,2,1.85,10,2.699575781
30-01-2021,California,State,Gamma,0,0,0.714285714,0.192826841
30-01-2021,California,State,Beta,0,0,0.285714286,0.077130737
30-01-2021,California,State,Omicron,0,0,0,0
30-01-2021,California,State,Epsilon,79,73.15,234.7142857,63.36290012
31-01-2021,California,State,Delta,0,0,0.571428571,0.143575018
31-01-2021,California,State,Other,82,34.31,135.2857143,33.9913855
31-01-2021,California,State,Total,239,100,398,100
31-01-2021,California,State,Mu,0,0,0,0
31-01-2021,California,State,Alpha,2,0.84,9.285714286,2.333094042
31-01-2021,California,State,Epsilon,154,64.44,251.7142857,63.24479541
31-01-2021,California,State,Beta,0,0,0.285714286,0.071787509
31-01-2021,California,State,Lambda,0,0,0,0
31-01-2021,California,State,Gamma,0,0,0.714285714,0.179468772
31-01-2021,California,State,Omicron,1,0.42,0.142857143,0.035893754
01-02-2021,California,State,Beta,0,0,0.285714286,0.057323015
01-02-2021,California,State,Total,787,100,498.4285714,100
01-02-2021,California,State,Other,223,28.34,162.5714286,32.61679564
01-02-2021,California,State,Delta,0,0,0.571428571,0.11464603
01-02-2021,California,State,Alpha,10,1.27,10.14285714,2.034967039
01-02-2021,California,State,Mu,0,0,0,0
01-02-2021,California,State,Gamma,0,0,0.714285714,0.143307538
01-02-2021,California,State,Lambda,0,0,0,0
01-02-2021,California,State,Epsilon,554,70.39,324,65.00429923
01-02-2021,California,State,Omicron,0,0,0.142857143,0.028661508
02-02-2021,California,State,Gamma,0,0,0.714285714,0.118567702
02-02-2021,California,State,Mu,0,0,0,0
02-02-2021,California,State,Other,296,22.72,173.7142857,28.83566516
02-02-2021,California,State,Beta,0,0,0.285714286,0.047427081
02-02-2021,California,State,Epsilon,974,74.75,413.5714286,68.65069955
02-02-2021,California,State,Omicron,0,0,0.142857143,0.02371354
02-02-2021,California,State,Alpha,33,2.53,13.57142857,2.252786341
02-02-2021,California,State,Delta,0,0,0.428571429,0.071140621
02-02-2021,California,State,Lambda,0,0,0,0
02-02-2021,California,State,Total,1303,100,602.4285714,100
